All The Things You Are,Sarah Vaughan & The Count Basie Orchestra
All The Things You Are,Ted Rosenthal Trio
All The Way,James Brown
All The Way,King Curtis
All This and Heaven Too,Chuck Redd
All Too Soon,Buddy Tate & Clark Terry
All Would Envy,Chris Botti feat. Shawn Colvin
Allegria,Role Christen
Alligator Boogaloo,Lou Donaldson
Alligator Boogaloo,Sandro Schneebeli Boogaloo 4tet
Alligator Crawl,Ralph Sutton
Alls wo mir id Finger chunnt,Michel Weber - Mike Goetz Swingtet
Allways,Grand Mother's Funck feat. Rich
Allways On My Mind,Inger Marie Gundersen
Almost Like Being In Love,Chet Baker
Almost Like Being In Love,Jazz Circle Höngg
Almost Like Being in Love,Jutta Hipp with Zoot Sims
Almost Like Being In Love,Les Gigolos
Almost Like Being In Love,Michael Winkle
Almost Like Being In Love,Modern Jazz Quartet & Sonny Rollins
Almost Like Being In Love,"Philipp ""Phil"" Rellstab feat. Uros Perich"
Almost Like Being in Love,Red Garland Trio
Almost Spring,S26
Almost The Blues,"Paul Kuhn with John Clayton, Jeff Hamilton"
Alone Again (Naturally),Diana Krall feat. Michael Bublé
Alone Together,Carly Simon
Alone Together,Charly Antolini
Alone Together,Charly Antolini & Danny Moss
Alone Together,Jim Snidero
Alone Together,Joe Williams
Alone Together,Stanley Turrentine
Alone Too Long,John Harrison Trio
Alone Too Long,Sonny Red
Along Came Betty,Bobby Hutcherson
Along Came Betty,Mario Schneeberger & Nerly Bigband
Along Came Mag,Mo'Blow
Along The Coast,J. P. Pasquier
Alors ?... Voilà !,Tchavolo Schmitt
Alright by Me,Delbert McClinton
"Alright, OK, You Win",Jenny Evans
"Alright, Okay, You Win",Bette Midler
"Alright, Okay, You Win",Tony Bennett with Diana Krall
Although I Sing The Blues,Sharrie Williams
Alto Vocation,Dutch Swing College Band
Always,Billie Holiday
Always,Lars Gullin
Always,Willy Schmid Quartett
Always Special,Phil Dankner & Victor Bynoe
Am I Blue?,Linda Ronstadt & Nelson Riddle Orchestra
Am I Wasting My Time,Bluecerne
Amanda Blues,Gianni Ferrio
Amanecer con sueno,Offbeat Jazz4tet
Amar pelos dois,Salvador Sobral
Amazing Grace,Chet Baker
Amazing Grace,Irene Zwahlen
Amazing Grace,Julian Waterfall Pollack Trio
Amazing Grace,Zürich All Stars feat. Judy Emeline
Amen,Eric Reed
Amen,The Golden Gate Quartet
America,Lajos Dudas Quartet
Americans In Paris,Iiro Rantala
Among The Stars,Zach Brock
"Amor, Amor, Amor / La Puerta / Maria La O (medley)",Tete Montoliu
Amor de nada,"Claudio Roditi, Klaus Ignatzek, Jean-Louis Rassinfosse"
Amor platônico,Anne-Florence Schneider
Amor sin esperanza,Paquito D'Rivera
An Affair To Remember,Cal Collins Quartet
"An Apple, An Orange And A Little Stick Doll",Jeannie & Jimmy Cheatham And The Sweet Baby Blues Band
An Apple For The Teacher,Willy Schmid Quartett
An Evening With A Little Star,Andrea Pagani
An Important Return,Ralf Ruh Trio
Anatole,Don Byas
Ancor che col partire,Johannes Böhmer - Domenic Landolf Quintet
And That I Am So In Love,Rolf Häsler Quartet
And That's Why It's Called The Blues,Terry Gibbs
And What If I Don't,Herbie Hancock
And What If I Don't,SFJAZZ Collective
And When The Angels Sing,Cologne Saxophone Quintet
Andrew Sisters Medley,Big Band Schweizer Armeespiel & Swiss Swinging Singers
Anémone soufrée,Jörg Schneider
Anésio orientado,Deu Choro
Angel Cake,Stan Levey
Angel Eyes,Ambassador Big Band
Angel Eyes,Dee Dee Bridgewater
Angel Eyes,Jack Van Poll Trio
Angel Eyes,MarkusPhilippe
Angel Face,Alphonse Mouzon
Angel Face,Charlie Haden Quartet West
Angel Face,Claus Raible & the BOP-chestra
Angel Girl,Frank Unzueta
Angel Town,Mezzoforte
Angelica,Richard Wyands Trio
Angelita,Mamborama
Angelo,Bovet Moser Dougoud Quartet
Angelo's Song,Jimmy Rosenberg
Angels We Have Heard On High,Caribbean Jazz Project
Angels We Have Heard on High,C.S. Heath
Angels We Have Heard On High,Eugene Maslov Trio
Angels We Have Heard On High,Fourplay
Angels We Have Heard On High / Joy To The World,Joe Pass
Angels We Have Heard On High,Lara & Reyes
Angels We Have Heard On High,Stefan Scaggiari Trio
Anitra's Dance,Dick Hyman & Bernd Lhotzky
Aniversário,Fourplay
Annie Mae,John Lee Hooker
Anniversary Song,Erich Nussbaum
Años Dourados (It Looks Like December),Joanne Brackeen
Another Bad Day,Larry Garner
Another Blues Day,Margie Evans
Another Brick In The Wall,Gero Koerner Trio
Another Day,Jamie Lidell
Another Fool,Bea Schneider
Another Kind Of Blues,Hot Strings
Another Samba For You,Dani Felber
Another Shuffle,Tom Matta Big Band
"Another Time, Another Place",Marlene VerPlanck
Anouman,Stochelo Rosenberg & Romane
Ansiedad,David Brito
Antigua,Harry Allen
Any Place I Hang My Hat is Home,Annie Sellick
Anything But Love,Annetta Zehnder And Her Trio
"Anytime, Any Day, Anywhere",Jackie Ryan
Aparecida,David Reinhardt Trio
Aphrodite,Dave Pike
April In Paris,Benny Golson
April In Paris,Dany Doriz & Georges Arvanitas
April In Paris,Lyambiko
April In Paris,Pepe Lienhard Big Band
April In Paris,Sammy Davis Jr. & The Count Basie Orchestra
April's Delight,Joe Newman - Billy Byers Sextet
Aquarela do Brasil,Elis Regina & Toots Thielemans
Aquarius,Beat Baumli & Dani Solimine
Are You The Lady?,"Walter ""Wolfman"" Washington"
Aren't You Glad You're You,Gerry Mulligan & Chet Baker
Arise,Lynne Arriale Trio
Armando's Fire,Oscar Lopez
Armando's Rumba,Daniel Woodtli Trio
Arne,Smeets-Hieronymi-Rütti
Arrowhead,Bob Brookmeyer / Jim Hall / Jimmy Raney
Arte calma,Rea Som
Artellerie lourde,Guttenberger Brothers
Artillerie Lourde,Erich Nussbaum
As,Deep Blue Organ Trio
As Far As The Eye Can See,David Wildi Guitar Poetry
As Long As I Live,Ella Fitzgerald
As Long As I Live,Ernestine Anderson
As rosas nao falam,Anat Cohen
As Time Goes By,Bruno De Filippi
As Time Goes By,Bryan Ferry
As Time Goes By,Claudio Filippini Trio
As Time Goes By,Dave Lee
As Time Goes By,Exciting Jazz Crew
As Time Goes By,Natalie Cole
As Time Goes By,New Harlem Ramblers
As Time Goes By,Rod Stewart & Queen Latifah
As Time Goes By,Ron Carter
As Time Goes By,Ruby Braff & His New England Songhounds
As You Turn to Go,Curtis Stigers
Ascona,Gunhild Carling
Ask Me Now,Bob DeVos
Ask Me Now,Don Friedman
Ask Me Now,Henri Chaix Trio
Ask Me Now,Tony Lakatos
Ask Yourself Why,Charito meets Michel Legrand
At Last,Gail Pettis
At Last,Lou Rawls & Dianne Reeves
At Last,Mike LeDonne & The Groover Quartet
At Last We're Alone,Ralph Sharon Quartet
At Long Last Love,Bill Henderson
At Long Last Love,Chris Cheek Quartet
At Long Last Love,Marlena Shaw & Ray Brown
